# Orbital Data
Earth Radius [km]: 6378.1363Initial
Initial Earth rotation angle [radians]: 5.402300741034097
Earth rotation angular rate [radians/second]: 7.292115e-05
# Timing and ECI position data follows
# Format: <timestamp-string>,<time-since-epoch-seconds>,<ECI-x-position-km>,<ECI-y-position-km>,<ECI-z-position-km>
2025-08-01T00:00:00.000,0.0,6778.1362955683035,0.1791326690712975,0.16730258952037078
2025-08-01T00:01:00.000,59.99999999999979,6762.508962122808,325.29455145976664,325.28274865456274
2025-08-01T00:02:00.000,119.99999999999957,6715.732198038499,648.9116006680691,648.899879503227
2025-08-01T00:03:00.000,179.99999999999937,6638.021530066122,969.5396437889319,969.5280582543033
2025-08-01T00:04:00.000,239.99999999999915,6529.735012815542,1285.701824466801,1285.6904279273172
2025-08-01T00:05:00.000,299.9999999999989,6391.371576091766,1595.941874932496,1595.9307198822928
2025-08-01T00:06:00.000,359.99999999999875,6223.568722072176,1898.8308291895237,1898.819967010089
2025-08-01T00:07:00.000,419.9999999999985,6027.099583027442,2192.9736099017045,2192.963090625157
2025-08-01T00:08:00.000,479.9999999999983,5802.869353258154,2477.015458526226,2477.005330604825
2025-08-01T00:09:00.000,539.9999999999981,5551.911111823512,2749.648178971047,2749.6384890539903
2025-08-01T00:10:00.000,599.9999999999978,5275.381055463752,3009.6161659292643,3009.606958647808
2025-08-01T00:11:00.000,659.9999999999976,4974.553163850799,3255.7221900513887,3255.713507813276
2025-08-01T00:12:00.000,720.0000000000023,4650.813321929277,3486.8329132544554,3486.824796048607
2025-08-01T00:13:00.000,780.000000000002,4305.652926620077,3701.8841087288447,3701.8765939412033
2025-08-01T00:14:00.000,840.0000000000018,3940.6620075387073,3899.8855615840357,3899.8786838254205
2025-08-01T00:15:00.000,900.0000000000016,3557.5218936216434,4079.925627565036,4079.919418511795
2025-08-01T00:16:00.000,960.0000000000014,3157.997459642262,4241.175428866985,4241.1699171151795
2025-08-01T00:17:00.000,1020.0000000000011,2743.928988527335,4382.892667766356,4382.887878700149
2025-08-01T00:18:00.000,1080.000000000001,2317.223687144571,4504.425040566682,4504.420996241534
2025-08-01T00:19:00.000,1140.0000000000007,1879.8468948142845,4605.213236215609,4605.209955256818
2025-08-01T00:20:00.000,1200.0000000000005,1433.8130251966859,4684.79350587954,4684.791003396588
2025-08-01T00:21:00.000,1260.0000000000002,981.1762834144224,4742.79979175305,4742.7980792701555
2025-08-01T00:22:00.000,1320.0,524.0212012826315,4778.965405423088,4778.964490826276
2025-08-01T00:23:00.000,1380.0,64.45303433167925,4793.124248193159,4793.124135694091
2025-08-01T00:24:00.000,1439.9999999999998,-395.4119350823649,4785.21156789034,4785.212258007068
2025-08-01T00:25:00.000,1499.9999999999995,-853.4561438799644,4755.264248818271,4755.265738373001
2025-08-01T00:26:00.000,1559.9999999999993,-1307.57049867562,4703.420633672157,4703.422915806033
2025-08-01T00:27:00.000,1619.999999999999,-1755.6640856224942,4629.919878387431,4629.922942592263
2025-08-01T00:28:00.000,1679.9999999999989,-2195.673795011713,4535.100843042004,4535.104675208799
2025-08-01T00:29:00.000,1739.9999999999986,-2625.5738163746196,4419.400524063296,4419.4051065473495
2025-08-01T00:30:00.000,1799.9999999999984,-3043.3849604594807,4283.352035095553,4283.357346797826
2025-08-01T00:31:00.000,1859.9999999999982,-3447.183765276528,4127.582145951049,4127.588162415424
2025-08-01T00:32:00.000,1919.999999999998,-3835.1113444224948,3952.808391091,3952.8150846169933
2025-08-01T00:33:00.000,1979.9999999999977,-4205.3819371028985,3759.8357610496046,3759.8431008199886
2025-08-01T00:34:00.000,2040.0000000000023,-4556.291120661291,3549.552992118512,3549.5609443412795
2025-08-01T00:35:00.000,2100.0000000000023,-4886.2236479926005,3322.928471441079,3322.936999505083
2025-08-01T00:36:00.000,2160.000000000002,-5193.660873956038,3081.0057764171897,3081.0148410607458
2025-08-01T00:37:00.000,2220.000000000002,-5477.187736801318,2824.898868983901,2824.9084284755745
2025-08-01T00:38:00.000,2280.0000000000014,-5735.499262674724,2555.786966905417,2555.7969772361625
2025-08-01T00:39:00.000,2340.0000000000014,-5967.406563466011,2274.909115672933,2274.919530758702
2025-08-01T00:40:00.000,2400.000000000001,-6171.842300585199,1983.5584859732894,1983.5692578671744
2025-08-01T00:41:00.000,2460.000000000001,-6347.86558970881,1683.0764229294107,1683.0875020423487
2025-08-01T00:42:00.000,2520.0000000000005,-6494.666324096626,1374.846274440153,1374.8576097691762
2025-08-01T00:43:00.000,2580.0000000000005,-6611.568896741565,1060.2870269471046,1060.2985663100867
2025-08-01T00:44:00.000,2640.0,-6698.035304364305,740.8467778273163,740.8584681031356
2025-08-01T00:45:00.000,2700.0,-6753.6676190889575,417.99607434960063,418.00786172261786
2025-08-01T00:46:00.000,2760.0,-6778.209816523461,93.22114973536458,93.23297994309166
2025-08-01T00:47:00.000,2819.9999999999995,-6771.548951905842,-231.98291267023757,-231.97109408741704
2025-08-01T00:48:00.000,2879.9999999999995,-6733.715678951823,-556.1190557861888,-556.1073032343927
2025-08-01T00:49:00.000,2939.999999999999,-6664.8841090374235,-877.695134228685,-877.6835018101515
2025-08-01T00:50:00.000,2999.999999999999,-6565.371011358776,-1195.2307772347885,-1195.2193184988919
2025-08-01T00:51:00.000,3059.9999999999986,-6435.634357717179,-1507.2641976235816,-1507.2529653203865
2025-08-01T00:52:00.000,3119.9999999999986,-6276.271218566996,-1812.3589155856455,-1812.3479614231342
2025-08-01T00:53:00.000,3179.999999999998,-6088.015019924231,-2109.1103664763586,-2109.0997408824455
2025-08-01T00:54:00.000,3239.999999999998,-5871.732173651278,-2396.152362312882,-2396.14211420331
2025-08-01T00:55:00.000,3299.9999999999977,-5628.418096495534,-2672.1633773359695,-2672.1535538891535
2025-08-01T00:56:00.000,3359.9999999999977,-5359.192636053424,-2935.8726287936634,-2935.8632752335175
2025-08-01T00:57:00.000,3419.9999999999973,-5065.294924544651,-3186.0659250305366,-3186.0570844182826
2025-08-01T00:58:00.000,3480.000000000007,-4748.077683901574,-3421.5912540200507,-3421.582967055967
2025-08-01T00:59:00.000,3540.000000000007,-4409.001008194706,-3641.364086653413,-3641.3563914894353
2025-08-01T01:00:00.000,3600.0000000000064,-4049.625651813543,-3844.3723703928085,-3844.3653024568434
2025-08-01T01:01:00.000,3660.0000000000064,-3671.6058540963427,-4029.681190300908,-4029.674782133671
2025-08-01T01:02:00.000,3720.000000000006,-3276.6817332357396,-4196.437075971001,-4196.4313570761315
2025-08-01T01:03:00.000,3780.000000000006,-2866.6712842759116,-4343.871934491608,-4343.866931199744
2025-08-01T01:04:00.000,3840.0000000000055,-2443.4620178481764,-4471.306591281934,-4471.302326629388
2025-08-01T01:05:00.000,3900.0000000000055,-2009.002277958076,-4578.153922421537,-4578.150416044121
2025-08-01T01:06:00.000,3960.000000000005,-1565.2922786305676,-4663.92156396117,-4663.918832003666
2025-08-01T01:07:00.000,4020.000000000005,-1114.374900532986,-4728.21418563396,-4728.212240675648
2025-08-01T01:08:00.000,4080.0000000000045,-658.3262898224112,-4770.735318378031,-4770.734169374634
2025-08-01T01:09:00.000,4140.000000000005,-199.24630239853053,-4791.288727124668,-4791.288379366972
2025-08-01T01:10:00.000,4200.000000000005,260.75116251884464,-4789.779322390781,-4789.779777480118
2025-08-01T01:11:00.000,4260.000000000004,719.5478950314848,-4766.213606331424,-4766.214862172155
2025-08-01T01:12:00.000,4320.000000000004,1175.0311286339777,-4720.699651047881,-4720.701701856894
2025-08-01T01:13:00.000,4380.000000000004,1625.1032707969916,-4653.446609099424,-4653.449445432614
2025-08-01T01:14:00.000,4440.000000000004,2067.691565224405,-4564.763758322501,-4564.767367118124
2025-08-01T01:15:00.000,4500.000000000004,2500.7576412320573,-4455.0590852098985,-4455.063449848579
2025-08-01T01:16:00.000,4560.000000000003,2922.3069061884007,-4324.837413234206,-4324.842513615347
2025-08-01T01:17:00.000,4620.000000000003,3330.3977376542034,-4174.69808460495,-4174.7038972391865
2025-08-01T01:18:00.000,4680.000000000003,3723.150432756918,-4005.332206017075,-4005.3387041343367
2025-08-01T01:19:00.000,4740.000000000003,4098.755873432217,-3817.519470970223,-3817.526624642934
2025-08-01T01:20:00.000,4800.000000000002,4455.483867454994,-3612.124573204185,-3612.132349485011
2025-08-01T01:21:00.000,4860.000000000002,4791.691126660099,-3390.0932276962467,-3390.1015907697756
2025-08-01T01:22:00.000,4920.000000000002,5105.828845412026,-3152.447817492301,-3152.4567288399417
2025-08-01T01:23:00.000,4980.000000000002,5396.449844215827,-2900.282686386247,-2900.292104963602
2025-08-01T01:24:00.000,5040.000000000001,5662.215245359817,-2634.7590991135776,-2634.7689815394656
2025-08-01T01:25:00.000,5100.000000000001,5901.900649635586,-2357.0998922766003,-2357.1101930328587
2025-08-01T01:26:00.000,5160.000000000001,6114.401785482094,-2068.583840663405,-2068.5945123045512
2025-08-01T01:27:00.000,5220.000000000001,6298.73960433792,-1770.5397649529916,-1770.550758324779
2025-08-01T01:28:00.000,5280.0,6454.064798547203,-1464.3404080089306,-1464.3516724747892
2025-08-01T01:29:00.000,5340.0,6579.66172083901,-1151.3961080471022,-1151.4075917214197
